zipcode,name,total_population
10001,ZCTA5 10001,29079
10002,ZCTA5 10002,75517
10003,ZCTA5 10003,53825
10004,ZCTA5 10004,3875
10005,ZCTA5 10005,9238
10006,ZCTA5 10006,4475
10007,ZCTA5 10007,7802
10009,ZCTA5 10009,58341
10010,ZCTA5 10010,31905
10011,ZCTA5 10011,49344
10012,ZCTA5 10012,21846
10013,ZCTA5 10013,28215
10014,ZCTA5 10014,29772
10016,ZCTA5 10016,54297
10017,ZCTA5 10017,14985
10018,ZCTA5 10018,8764
10019,ZCTA5 10019,44276
10021,ZCTA5 10021,39479
10022,ZCTA5 10022,34340
10023,ZCTA5 10023,67468
10024,ZCTA5 10024,62576
10025,ZCTA5 10025,93223
10026,ZCTA5 10026,37113
10027,ZCTA5 10027,65068
10028,ZCTA5 10028,45679
10029,ZCTA5 10029,74848
10030,ZCTA5 10030,30781
10031,ZCTA5 10031,60305
10032,ZCTA5 10032,55579
10033,ZCTA5 10033,53611
10034,ZCTA5 10034,39037
10035,ZCTA5 10035,39082
10036,ZCTA5 10036,30589
10037,ZCTA5 10037,18333
10038,ZCTA5 10038,23342
10039,ZCTA5 10039,30512
10040,ZCTA5 10040,41581
10044,ZCTA5 10044,11998
10065,ZCTA5 10065,31047
10069,ZCTA5 10069,6669
10075,ZCTA5 10075,23865
10128,ZCTA5 10128,59000
10280,ZCTA5 10280,8668
10282,ZCTA5 10282,5960
10301,ZCTA5 10301,39799
10302,ZCTA5 10302,19693
10303,ZCTA5 10303,25993
10304,ZCTA5 10304,45843
10305,ZCTA5 10305,41714
10306,ZCTA5 10306,57249
10307,ZCTA5 10307,14821
10308,ZCTA5 10308,29996
10309,ZCTA5 10309,34918
10310,ZCTA5 10310,25824
10312,ZCTA5 10312,63345
10314,ZCTA5 10314,93539
10451,ZCTA5 10451,48975
10452,ZCTA5 10452,76745
10453,ZCTA5 10453,78270
10454,ZCTA5 10454,40368
10455,ZCTA5 10455,42940
10456,ZCTA5 10456,86958
10457,ZCTA5 10457,79375
10458,ZCTA5 10458,78741
10459,ZCTA5 10459,49753
10460,ZCTA5 10460,61101
10461,ZCTA5 10461,50900
10462,ZCTA5 10462,75452
10463,ZCTA5 10463,69373
10464,ZCTA5 10464,4273
10465,ZCTA5 10465,46457
10466,ZCTA5 10466,74061
10467,ZCTA5 10467,96304
10468,ZCTA5 10468,79825
10469,ZCTA5 10469,69855
10470,ZCTA5 10470,15558
10471,ZCTA5 10471,23400
10472,ZCTA5 10472,63820
10473,ZCTA5 10473,59778
10474,ZCTA5 10474,11188
10475,ZCTA5 10475,42771
11004,ZCTA5 11004,14296
11101,ZCTA5 11101,39007
11102,ZCTA5 11102,28349
11103,ZCTA5 11103,35357
11104,ZCTA5 11104,26825
11105,ZCTA5 11105,38507
11106,ZCTA5 11106,40657
11109,ZCTA5 11109,7388
11201,ZCTA5 11201,69251
11203,ZCTA5 11203,76853
11204,ZCTA5 11204,81368
11205,ZCTA5 11205,50205
11206,ZCTA5 11206,89231
11207,ZCTA5 11207,93445
11208,ZCTA5 11208,106901
11209,ZCTA5 11209,70756
11210,ZCTA5 11210,60398
11211,ZCTA5 11211,65691
11212,ZCTA5 11212,87946
11213,ZCTA5 11213,69630
11214,ZCTA5 11214,88994
11215,ZCTA5 11215,70922
11216,ZCTA5 11216,59913
11217,ZCTA5 11217,42569
11218,ZCTA5 11218,71313
11219,ZCTA5 11219,94737
11220,ZCTA5 11220,90792
11221,ZCTA5 11221,90750
11222,ZCTA5 11222,41418
11223,ZCTA5 11223,78566
11224,ZCTA5 11224,48469
11225,ZCTA5 11225,56544
11226,ZCTA5 11226,100022
11228,ZCTA5 11228,42325
11229,ZCTA5 11229,79802
11230,ZCTA5 11230,88252
11231,ZCTA5 11231,39704
11232,ZCTA5 11232,26681
11233,ZCTA5 11233,82711
11234,ZCTA5 11234,87778
11235,ZCTA5 11235,81958
11236,ZCTA5 11236,95174
11237,ZCTA5 11237,45233
11238,ZCTA5 11238,58462
11239,ZCTA5 11239,16047
11354,ZCTA5 11354,52325
11355,ZCTA5 11355,79802
11356,ZCTA5 11356,26956
11357,ZCTA5 11357,42341
11358,ZCTA5 11358,36496
11360,ZCTA5 11360,19510
11361,ZCTA5 11361,30402
11362,ZCTA5 11362,18156
11363,ZCTA5 11363,7515
11364,ZCTA5 11364,36417
11365,ZCTA5 11365,43258
11366,ZCTA5 11366,12967
11367,ZCTA5 11367,42210
11368,ZCTA5 11368,107060
11369,ZCTA5 11369,33354
11370,ZCTA5 11370,28762
11372,ZCTA5 11372,66995
11373,ZCTA5 11373,99433
11374,ZCTA5 11374,46128
11375,ZCTA5 11375,75320
11377,ZCTA5 11377,83545
11378,ZCTA5 11378,37828
11379,ZCTA5 11379,37378
11385,ZCTA5 11385,103865
11411,ZCTA5 11411,20501
11412,ZCTA5 11412,41350
11413,ZCTA5 11413,45072
11414,ZCTA5 11414,31090
11415,ZCTA5 11415,21379
11416,ZCTA5 11416,26660
11417,ZCTA5 11417,30091
11418,ZCTA5 11418,36304
11419,ZCTA5 11419,46938
11420,ZCTA5 11420,50060
11421,ZCTA5 11421,41937
11422,ZCTA5 11422,33085
11423,ZCTA5 11423,29105
11426,ZCTA5 11426,19638
11427,ZCTA5 11427,25124
11428,ZCTA5 11428,18898
11429,ZCTA5 11429,27933
11432,ZCTA5 11432,63730
11433,ZCTA5 11433,37777
11434,ZCTA5 11434,67611
11435,ZCTA5 11435,58424
11436,ZCTA5 11436,21364
11691,ZCTA5 11691,68704
11692,ZCTA5 11692,23247
11693,ZCTA5 11693,13066
11694,ZCTA5 11694,21430
11697,ZCTA5 11697,4123